date,Gini_Index_USA
1963-01-04,36.7
1963-01-11,36.7
1963-01-18,36.7
1963-01-25,36.7
1963-02-01,36.7
1963-02-08,36.7
1963-02-15,36.7
1963-02-22,36.7
1963-03-01,36.7
1963-03-08,36.7
1963-03-15,36.7
1963-03-22,36.7
1963-03-29,36.7
1963-04-05,36.7
1963-04-12,36.7
1963-04-19,36.7
1963-04-26,36.7
1963-05-03,36.7
1963-05-10,36.7
1963-05-17,36.7
1963-05-24,36.7
1963-05-31,36.7
1963-06-07,36.7
1963-06-14,36.7
1963-06-21,36.7
1963-06-28,36.7
1963-07-05,36.7
1963-07-12,36.7
1963-07-19,36.7
1963-07-26,36.7
1963-08-02,36.7
1963-08-09,36.7
1963-08-16,36.7
1963-08-23,36.7
1963-08-30,36.7
1963-09-06,36.7
1963-09-13,36.7
1963-09-20,36.7
1963-09-27,36.7
1963-10-04,36.7
1963-10-11,36.7
1963-10-18,36.7
1963-10-25,36.7
1963-11-01,36.7
1963-11-08,36.7
1963-11-15,36.7
1963-11-22,36.7
1963-11-29,36.7
1963-12-06,36.7
1963-12-13,36.7
1963-12-20,36.7
1963-12-27,36.7
1964-01-03,37.4
1964-01-10,37.4
1964-01-17,37.4
1964-01-24,37.4
1964-01-31,37.4
1964-02-07,37.4
1964-02-14,37.4
1964-02-21,37.4
1964-02-28,37.4
1964-03-06,37.4
1964-03-13,37.4
1964-03-20,37.4
1964-03-27,37.4
1964-04-03,37.4
1964-04-10,37.4
1964-04-17,37.4
1964-04-24,37.4
1964-05-01,37.4
1964-05-08,37.4
1964-05-15,37.4
1964-05-22,37.4
1964-05-29,37.4
1964-06-05,37.4
1964-06-12,37.4
1964-06-19,37.4
1964-06-26,37.4
1964-07-03,37.4
1964-07-10,37.4
1964-07-17,37.4
1964-07-24,37.4
1964-07-31,37.4
1964-08-07,37.4
1964-08-14,37.4
1964-08-21,37.4
1964-08-28,37.4
1964-09-04,37.4
1964-09-11,37.4
1964-09-18,37.4
1964-09-25,37.4
1964-10-02,37.4
1964-10-09,37.4
1964-10-16,37.4
1964-10-23,37.4
1964-10-30,37.4
1964-11-06,37.4
1964-11-13,37.4
1964-11-20,37.4
1964-11-27,37.4
1964-12-04,37.4
1964-12-11,37.4
1964-12-18,37.4
1964-12-25,37.4
1965-01-01,36.8
1965-01-08,36.8
1965-01-15,36.8
1965-01-22,36.8
1965-01-29,36.8
1965-02-05,36.8
1965-02-12,36.8
1965-02-19,36.8
1965-02-26,36.8
1965-03-05,36.8
1965-03-12,36.8
1965-03-19,36.8
1965-03-26,36.8
1965-04-02,36.8
1965-04-09,36.8
1965-04-16,36.8
1965-04-23,36.8
1965-04-30,36.8
1965-05-07,36.8
1965-05-14,36.8
1965-05-21,36.8
1965-05-28,36.8
1965-06-04,36.8
1965-06-11,36.8
1965-06-18,36.8
1965-06-25,36.8
1965-07-02,36.8
1965-07-09,36.8
1965-07-16,36.8
1965-07-23,36.8
1965-07-30,36.8
1965-08-06,36.8
1965-08-13,36.8
1965-08-20,36.8
1965-08-27,36.8
1965-09-03,36.8
1965-09-10,36.8
1965-09-17,36.8
1965-09-24,36.8
1965-10-01,36.8
1965-10-08,36.8
1965-10-15,36.8
1965-10-22,36.8
1965-10-29,36.8
1965-11-05,36.8
1965-11-12,36.8
1965-11-19,36.8
1965-11-26,36.8
1965-12-03,36.8
1965-12-10,36.8
1965-12-17,36.8
1965-12-24,36.8
1965-12-31,36.8
1966-01-07,37.1
1966-01-14,37.1
1966-01-21,37.1
1966-01-28,37.1
1966-02-04,37.1
1966-02-11,37.1
1966-02-18,37.1
1966-02-25,37.1
1966-03-04,37.1
1966-03-11,37.1
1966-03-18,37.1
1966-03-25,37.1
1966-04-01,37.1
1966-04-08,37.1
1966-04-15,37.1
1966-04-22,37.1
1966-04-29,37.1
1966-05-06,37.1
1966-05-13,37.1
1966-05-20,37.1
1966-05-27,37.1
1966-06-03,37.1
1966-06-10,37.1
1966-06-17,37.1
1966-06-24,37.1
1966-07-01,37.1
1966-07-08,37.1
1966-07-15,37.1
1966-07-22,37.1
1966-07-29,37.1
1966-08-05,37.1
1966-08-12,37.1
1966-08-19,37.1
1966-08-26,37.1
1966-09-02,37.1
1966-09-09,37.1
1966-09-16,37.1
1966-09-23,37.1
1966-09-30,37.1
1966-10-07,37.1
1966-10-14,37.1
1966-10-21,37.1
1966-10-28,37.1
1966-11-04,37.1
1966-11-11,37.1
1966-11-18,37.1
1966-11-25,37.1
1966-12-02,37.1
1966-12-09,37.1
1966-12-16,37.1
1966-12-23,37.1
1966-12-30,37.1
1967-01-06,36.9
1967-01-13,36.9
1967-01-20,36.9
1967-01-27,36.9
1967-02-03,36.9
1967-02-10,36.9
1967-02-17,36.9
1967-02-24,36.9
1967-03-03,36.9
1967-03-10,36.9
1967-03-17,36.9
1967-03-24,36.9
1967-03-31,36.9
1967-04-07,36.9
1967-04-14,36.9
1967-04-21,36.9
1967-04-28,36.9
1967-05-05,36.9
1967-05-12,36.9
1967-05-19,36.9
1967-05-26,36.9
1967-06-02,36.9
1967-06-09,36.9
1967-06-16,36.9
1967-06-23,36.9
1967-06-30,36.9
1967-07-07,36.9
1967-07-14,36.9
1967-07-21,36.9
1967-07-28,36.9
1967-08-04,36.9
1967-08-11,36.9
1967-08-18,36.9
1967-08-25,36.9
1967-09-01,36.9
1967-09-08,36.9
1967-09-15,36.9
1967-09-22,36.9
1967-09-29,36.9
1967-10-06,36.9
1967-10-13,36.9
1967-10-20,36.9
1967-10-27,36.9
1967-11-03,36.9
1967-11-10,36.9
1967-11-17,36.9
1967-11-24,36.9
1967-12-01,36.9
1967-12-08,36.9
1967-12-15,36.9
1967-12-22,36.9
1967-12-29,36.9
1968-01-05,36.3
1968-01-12,36.3
1968-01-19,36.3
1968-01-26,36.3
1968-02-02,36.3
1968-02-09,36.3
1968-02-16,36.3
1968-02-23,36.3
1968-03-01,36.3
1968-03-08,36.3
1968-03-15,36.3
1968-03-22,36.3
1968-03-29,36.3
1968-04-05,36.3
1968-04-12,36.3
1968-04-19,36.3
1968-04-26,36.3
1968-05-03,36.3
1968-05-10,36.3
1968-05-17,36.3
1968-05-24,36.3
1968-05-31,36.3
1968-06-07,36.3
1968-06-14,36.3
1968-06-21,36.3
1968-06-28,36.3
1968-07-05,36.3
1968-07-12,36.3
1968-07-19,36.3
1968-07-26,36.3
1968-08-02,36.3
1968-08-09,36.3
1968-08-16,36.3
1968-08-23,36.3
1968-08-30,36.3
1968-09-06,36.3
1968-09-13,36.3
1968-09-20,36.3
1968-09-27,36.3
1968-10-04,36.3
1968-10-11,36.3
1968-10-18,36.3
1968-10-25,36.3
1968-11-01,36.3
1968-11-08,36.3
1968-11-15,36.3
1968-11-22,36.3
1968-11-29,36.3
1968-12-06,36.3
1968-12-13,36.3
1968-12-20,36.3
1968-12-27,36.3
1969-01-03,36.0
1969-01-10,36.0
1969-01-17,36.0
1969-01-24,36.0
1969-01-31,36.0
1969-02-07,36.0
1969-02-14,36.0
1969-02-21,36.0
1969-02-28,36.0
1969-03-07,36.0
1969-03-14,36.0
1969-03-21,36.0
1969-03-28,36.0
1969-04-04,36.0
1969-04-11,36.0
1969-04-18,36.0
1969-04-25,36.0
1969-05-02,36.0
1969-05-09,36.0
1969-05-16,36.0
1969-05-23,36.0
